Name	N	N _mem,F	${\overline{{\mu }_{\alpha \star }}}_{F}$	${\overline{{\mu }_{\delta }}}_{F}$	N _mem,G	${\overline{{\mu }_{\alpha \star }}}_{G}$	${\overline{{\mu }_{\delta }}}_{G}$	sigma _mu,sys	
Pegasus III	25	${3.9}_{-0.4}^{+0.3}$	$-{0.030}_{-0.210}^{+0.210}$	$-{0.580}_{-0.208}^{+0.213}$	${3.8}_{-0.4}^{+0.3}$	$-{0.019}_{-0.218}^{+0.212}$	$-{0.567}_{-0.217}^{+0.217}$	0.023	
Phoenix II	45	${9.5}_{-0.3}^{+0.3}$	${0.507}_{-0.048}^{+0.047}$	$-{1.199}_{-0.057}^{+0.058}$	${9.5}_{-0.3}^{+0.3}$	${0.507}_{-0.048}^{+0.047}$	$-{1.198}_{-0.059}^{+0.058}$	0.023	
Pictor I	68	${8.3}_{-0.3}^{+0.3}$	${0.153}_{-0.088}^{+0.086}$	${0.096}_{-0.114}^{+0.118}$	${8.2}_{-0.4}^{+0.3}$	${0.150}_{-0.087}^{+0.087}$	${0.097}_{-0.117}^{+0.119}$	0.023	
Pictor II	455	${6.1}_{-1.5}^{+3.5}$	${1.091}_{-0.423}^{+0.113}$	${1.179}_{-0.087}^{+0.116}$				0.022	
Pisces II		3	${0.681}_{-0.307}^{+0.309}$	$-{0.645}_{-0.209}^{+0.215}$				0.022	
Reticulum II	465	${50.2}_{-1.4}^{+1.4}$	${2.377}_{-0.024}^{+0.023}$	$-{1.379}_{-0.025}^{+0.026}$	${49.4}_{-1.5}^{+1.4}$	${2.375}_{-0.023}^{+0.023}$	$-{1.378}_{-0.026}^{+0.027}$	0.021	
Reticulum III	67	${5.7}_{-1.5}^{+0.8}$	${0.260}_{-0.144}^{+0.140}$	$-{0.502}_{-0.226}^{+0.222}$	${4.9}_{-2.2}^{+1.1}$	${0.260}_{-0.173}^{+0.163}$	$-{0.524}_{-0.318}^{+0.330}$	0.023	
Sagittarius II	769	${65.2}_{-1.3}^{+1.3}$	$-{0.769}_{-0.035}^{+0.035}$	$-{0.903}_{-0.023}^{+0.022}$	${63.1}_{-1.3}^{+1.3}$	$-{0.771}_{-0.035}^{+0.036}$	$-{0.902}_{-0.023}^{+0.023}$	0.023	
Sculptor	7362	${6184.2}_{-3.6}^{+3.5}$	${0.100}_{-0.002}^{+0.002}$	$-{0.158}_{-0.002}^{+0.002}$	${6195.5}_{-6.5}^{+6.6}$	${0.101}_{-0.003}^{+0.003}$	$-{0.156}_{-0.002}^{+0.002}$	0.020	
Segue 1	302	${17.9}_{-1.9}^{+1.9}$	$-{2.102}_{-0.051}^{+0.051}$	$-{3.375}_{-0.046}^{+0.044}$	${16.5}_{-1.9}^{+1.9}$	$-{2.099}_{-0.054}^{+0.053}$	$-{3.375}_{-0.047}^{+0.047}$	0.022	
Segue 2	201	${16.4}_{-0.7}^{+0.7}$	${1.446}_{-0.059}^{+0.059}$	$-{0.322}_{-0.050}^{+0.049}$	${15.9}_{-0.7}^{+0.7}$	${1.445}_{-0.061}^{+0.059}$	$-{0.321}_{-0.051}^{+0.050}$	0.022	
Sextans	4359	${1361.0}_{-6.5}^{+6.5}$	$-{0.409}_{-0.008}^{+0.009}$	${0.037}_{-0.009}^{+0.009}$	${1333.0}_{-8.2}^{+8.2}$	$-{0.409}_{-0.009}^{+0.009}$	${0.041}_{-0.009}^{+0.009}$	0.019	
Triangulum II	799	${10.7}_{-1.3}^{+1.5}$	${0.575}_{-0.060}^{+0.060}$	${0.112}_{-0.067}^{+0.069}$	${11.1}_{-1.3}^{+1.5}$	${0.571}_{-0.058}^{+0.058}$	${0.109}_{-0.067}^{+0.065}$	0.023	
Tucana II	277	${40.6}_{-4.6}^{+4.7}$	${0.911}_{-0.026}^{+0.024}$	$-{1.280}_{-0.029}^{+0.029}$	${42.5}_{-5.0}^{+5.0}$	${0.905}_{-0.026}^{+0.024}$	$-{1.277}_{-0.030}^{+0.029}$	0.020	
Tucana III	881	${46.8}_{-4.7}^{+5.1}$	$-{0.048}_{-0.036}^{+0.035}$	$-{1.638}_{-0.039}^{+0.039}$	${54.3}_{-5.7}^{+5.9}$	$-{0.040}_{-0.034}^{+0.034}$	$-{1.629}_{-0.038}^{+0.038}$	0.022	
Tucana IV	344	${11.0}_{-1.9}^{+2.2}$	${0.534}_{-0.053}^{+0.050}$	$-{1.707}_{-0.055}^{+0.054}$	${12.1}_{-2.1}^{+2.3}$	${0.540}_{-0.051}^{+0.049}$	$-{1.697}_{-0.055}^{+0.053}$	0.021	
Tucana V	62	${4.6}_{-4.6}^{+1.7}$	$-{0.161}_{-0.176}^{+0.087}$	$-{1.157}_{-0.195}^{+0.150}$	${5.6}_{-3.1}^{+1.2}$	$-{0.152}_{-0.068}^{+0.057}$	$-{1.151}_{-0.079}^{+0.074}$	0.023	
Ursa Major I	122	${44.0}_{-1.0}^{+0.9}$	$-{0.401}_{-0.036}^{+0.036}$	$-{0.613}_{-0.042}^{+0.040}$	${42.9}_{-1.3}^{+1.2}$	$-{0.398}_{-0.038}^{+0.036}$	$-{0.614}_{-0.043}^{+0.042}$	0.021	
Ursa Major II	812	${47.0}_{-2.3}^{+2.3}$	${1.731}_{-0.021}^{+0.021}$	$-{1.906}_{-0.025}^{+0.024}$	${42.6}_{-2.6}^{+2.6}$	${1.734}_{-0.022}^{+0.022}$	$-{1.902}_{-0.025}^{+0.025}$	0.020	
Ursa Minor	5113	${1909.1}_{-6.9}^{+6.9}$	$-{0.120}_{-0.005}^{+0.005}$	${0.071}_{-0.005}^{+0.005}$	${1890.2}_{-8.1}^{+8.0}$	$-{0.119}_{-0.005}^{+0.005}$	${0.072}_{-0.005}^{+0.005}$	0.019	
Willman 1	76	${7.7}_{-0.6}^{+0.9}$	${0.255}_{-0.087}^{+0.077}$	$-{1.110}_{-0.091}^{+0.095}$	${7.6}_{-0.5}^{+1.1}$	${0.241}_{-0.085}^{+0.082}$	$-{1.108}_{-0.096}^{+0.096}$	0.023	
